,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,name_len
48,Brooklyn,Bedford-Stuyvesant,Entire home/apt,115,3,11,0.1,1,0,25
49,Brooklyn,Fort Greene,Private room,80,3,135,1.16,2,192,23
50,Brooklyn,Bedford-Stuyvesant,Private room,80,1,112,1.01,3,251,47
51,Manhattan,Upper West Side,Entire home/apt,151,2,73,0.63,1,302,46
52,Brooklyn,Williamsburg,Entire home/apt,228,3,82,0.7,1,140,26
53,Brooklyn,Greenpoint,Entire home/apt,144,2,328,2.82,1,234,31
54,Manhattan,Kips Bay,Entire home/apt,200,7,19,0.22,1,257,35
55,Brooklyn,Williamsburg,Entire home/apt,150,30,105,0.9,1,30,32
56,Manhattan,Lower East Side,Private room,110,5,19,0.17,1,301,34
57,Manhattan,Hell's Kitchen,Private room,69,2,289,2.49,2,294,35
58,Brooklyn,Greenpoint,Private room,49,4,138,1.19,3,320,31
59,Manhattan,SoHo,Entire home/apt,180,30,21,0.3,1,154,45
60,Brooklyn,Williamsburg,Private room,80,2,42,0.38,1,263,21
61,Manhattan,Chelsea,Entire home/apt,375,180,5,0.12,1,180,34
62,Manhattan,Upper East Side,Entire home/apt,250,2,66,0.57,2,231,42
63,Brooklyn,Prospect Heights,Entire home/apt,200,30,143,1.33,2,297,42
64,Brooklyn,Clinton Hill,Private room,55,7,27,0.23,2,292,49
65,Manhattan,Hell's Kitchen,Private room,52,30,191,1.65,1,191,28
66,Brooklyn,Park Slope,Entire home/apt,225,3,4,0.16,1,0,50
67,Manhattan,East Village,Private room,80,1,338,4.72,2,72,35
68,Brooklyn,Williamsburg,Entire home/apt,275,1,148,1.4,1,362,50
69,Manhattan,East Village,Private room,99,1,106,1.26,2,336,38
70,Manhattan,East Harlem,Entire home/apt,225,4,190,1.64,1,215,31
71,Manhattan,East Village,Entire home/apt,230,9,49,0.43,1,116,23
72,Manhattan,Hell's Kitchen,Private room,51,7,23,0.43,1,88,27
73,Manhattan,Washington Heights,Private room,65,2,49,1.6,2,336,31
74,Brooklyn,Clinton Hill,Private room,105,2,105,0.92,1,304,21
75,Manhattan,East Village,Entire home/apt,190,5,21,0.2,1,224,38
76,Manhattan,Upper East Side,Private room,200,1,142,1.5,1,322,14
77,Queens,Woodside,Private room,70,30,25,0.22,1,324,21
78,Brooklyn,Fort Greene,Private room,95,3,143,1.28,1,132,31
79,Manhattan,Chelsea,Private room,150,3,167,1.65,1,295,35
80,Brooklyn,Williamsburg,Private room,145,3,61,0.54,4,238,26
81,Manhattan,Harlem,Entire home/apt,110,31,54,0.49,1,209,36
82,Manhattan,Lower East Side,Entire home/apt,285,5,70,0.62,1,328,32
83,Brooklyn,Flatbush,Entire home/apt,130,6,16,0.15,1,38,31
84,Manhattan,Lower East Side,Private room,94,30,94,0.84,1,188,42
85,Brooklyn,Brooklyn Heights,Entire home/apt,800,1,25,0.24,1,7,35
86,Brooklyn,Williamsburg,Entire home/apt,105,3,61,0.53,1,272,43
87,Manhattan,East Village,Private room,60,3,194,1.73,1,26,19
88,Manhattan,East Village,Private room,50,1,2,0.05,1,0,22
89,Brooklyn,Williamsburg,Private room,85,3,174,1.54,4,288,33
90,Brooklyn,Bushwick,Private room,65,4,24,0.28,1,317,35
91,Brooklyn,Prospect Heights,Entire home/apt,131,4,166,3.4,1,207,35
92,Brooklyn,Clinton Hill,Private room,98,7,16,0.2,6,185,49
93,Brooklyn,Prospect Heights,Entire home/apt,250,7,21,0.3,1,158,32
94,Brooklyn,Williamsburg,Entire home/apt,100,5,168,1.57,1,0,34
95,Brooklyn,Bushwick,Entire home/apt,105,3,118,1.05,2,9,30
96,Manhattan,Upper West Side,Entire home/apt,140,3,81,0.71,1,198,34
97,Manhattan,Harlem,Private room,89,1,1,0.11,1,365,25
98,Manhattan,Chelsea,Private room,98,30,30,0.27,2,364,27
99,Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,7,139,1.23,2,311,35
100,Manhattan,Harlem,Private room,60,3,11,0.87,3,219,48
101,Brooklyn,Carroll Gardens,Entire home/apt,175,2,233,2.09,3,342,30
102,Manhattan,Washington Heights,Private room,65,2,68,0.6,1,312,24
103,Manhattan,West Village,Entire home/apt,500,4,46,0.55,2,243,49
104,Brooklyn,Williamsburg,Private room,101,3,335,3.02,1,152,50
105,Brooklyn,Park Slope,Entire home/apt,220,30,88,0.79,1,9,26
106,Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,90,162,1.46,2,137,33
107,Brooklyn,Williamsburg,Entire home/apt,80,30,29,0.4,1,222,35
108,Manhattan,Harlem,Private room,100,2,170,1.61,1,346,32
109,Brooklyn,Gowanus,Entire home/apt,200,30,19,0.2,1,208,50
110,Manhattan,Hell's Kitchen,Private room,59,2,334,3.0,2,279,35
111,Brooklyn,Clinton Hill,Private room,125,2,19,0.2,6,250,44
112,Manhattan,East Village,Entire home/apt,140,7,12,0.13,1,164,32
113,Brooklyn,South Slope,Entire home/apt,120,30,467,4.22,2,192,28
114,Manhattan,East Village,Entire home/apt,350,2,7,0.06,4,298,49
115,Manhattan,Kips Bay,Entire home/apt,199,5,38,0.38,1,260,34
116,Brooklyn,Williamsburg,Entire home/apt,325,3,324,3.01,1,107,35
117,Manhattan,Upper West Side,Entire home/apt,235,6,27,0.27,1,199,47
118,Manhattan,East Village,Entire home/apt,225,1,115,1.05,4,299,38
119,Brooklyn,South Slope,Private room,99,2,354,3.2,3,20,49
120,Manhattan,Harlem,Entire home/apt,170,2,195,2.03,1,318,21
121,Brooklyn,South Slope,Entire home/apt,400,2,16,0.24,2,216,32
122,Manhattan,Upper West Side,Entire home/apt,170,7,13,0.12,1,224,30
123,Manhattan,East Village,Entire home/apt,100,4,25,0.23,1,0,22
124,Brooklyn,Prospect-Lefferts Gardens,Private room,75,2,9,0.08,1,324,50
125,Brooklyn,Williamsburg,Private room,90,1,9,0.08,1,245,33
126,Manhattan,Upper East Side,Entire home/apt,150,5,21,0.19,1,189,35
127,Manhattan,Washington Heights,Private room,85,15,36,0.33,1,307,45
128,Brooklyn,Bedford-Stuyvesant,Private room,70,3,63,0.58,2,310,12
129,Manhattan,Harlem,Entire home/apt,120,3,155,1.42,3,213,24
130,Brooklyn,Clinton Hill,Private room,89,3,260,2.35,1,278,23
131,Manhattan,East Village,Entire home/apt,185,5,73,0.66,1,209,36
132,Brooklyn,Greenpoint,Private room,50,3,193,1.86,1,0,32
133,Manhattan,Lower East Side,Entire home/apt,105,3,32,0.29,1,16,36
134,Manhattan,Hell's Kitchen,Private room,130,2,50,0.45,3,234,22
135,Manhattan,West Village,Entire home/apt,115,29,26,0.25,1,12,38
136,Brooklyn,Flatlands,Private room,77,2,2,0.02,1,178,26
137,Brooklyn,Clinton Hill,Private room,76,2,426,3.89,3,275,34
138,Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,3,227,2.09,2,163,15
139,Brooklyn,Clinton Hill,Private room,135,4,84,0.77,3,365,34
140,Brooklyn,Greenpoint,Entire home/apt,250,29,3,0.03,1,34,31
141,Brooklyn,Williamsburg,Entire home/apt,199,3,10,0.1,1,280,43
142,Brooklyn,Cobble Hill,Entire home/apt,140,2,4,0.04,1,0,28
143,Queens,Flushing,Private room,140,2,1,0.01,1,1,34
144,Brooklyn,Bedford-Stuyvesant,Entire home/apt,115,3,124,1.72,2,170,22
145,Brooklyn,Williamsburg,Entire home/apt,160,3,11,0.11,1,188,35
146,Brooklyn,Williamsburg,Entire home/apt,195,4,240,2.19,1,214,23
147,Manhattan,East Village,Entire home/apt,195,3,30,0.28,1,248,7
148,Brooklyn,Williamsburg,Private room,80,3,200,1.86,4,262,32
149,Brooklyn,Fort Greene,Private room,44,8,27,1.05,5,280,47
150,Manhattan,West Village,Private room,156,4,79,0.74,1,307,35
151,Brooklyn,Prospect Heights,Private room,85,15,9,0.09,1,339,34
152,Brooklyn,Williamsburg,Private room,125,3,155,1.61,1,1,32
153,Brooklyn,Prospect Heights,Entire home/apt,115,15,4,0.05,1,269,41
154,Manhattan,East Harlem,Private room,69,2,34,0.32,1,10,35
155,Manhattan,West Village,Entire home/apt,225,45,134,1.24,1,312,33
156,Brooklyn,Williamsburg,Entire home/apt,125,6,27,0.25,1,189,30
157,Manhattan,Upper East Side,Entire home/apt,219,4,126,1.16,2,290,46
158,Brooklyn,Boerum Hill,Entire home/apt,475,3,23,0.27,1,230,32
159,Manhattan,Upper East Side,Entire home/apt,99,1,234,2.6,2,164,29
160,Brooklyn,Williamsburg,Private room,69,4,202,1.86,2,53,32
161,Queens,Sunnyside,Private room,79,30,28,0.26,1,126,39
162,Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,2,309,2.86,2,3,32
163,Brooklyn,DUMBO,Private room,250,3,14,0.13,1,189,34
164,Manhattan,Upper East Side,Entire home/apt,250,3,4,0.08,1,365,47
165,Brooklyn,Gowanus,Entire home/apt,250,2,80,2.17,1,0,49
166,Manhattan,Harlem,Entire home/apt,80,3,2,0.04,1,0,35
167,Brooklyn,Clinton Hill,Private room,70,2,294,3.47,3,336,34
168,Brooklyn,Carroll Gardens,Entire home/apt,165,2,150,1.4,3,342,30
169,Staten Island,St. George,Private room,70,2,166,1.66,1,312,25
170,Brooklyn,Bushwick,Private room,50,2,47,0.94,1,37,35
171,Bronx,Highbridge,Private room,40,1,219,2.04,3,353,16
172,Brooklyn,Williamsburg,Entire home/apt,150,2,193,1.78,1,177,34
173,Manhattan,East Village,Private room,125,1,84,0.78,4,310,25
174,Manhattan,Financial District,Entire home/apt,196,3,114,1.06,1,0,30
175,Brooklyn,Fort Greene,Private room,110,2,213,2.0,2,321,35
176,Manhattan,West Village,Entire home/apt,170,3,86,0.8,1,246,35
177,Manhattan,Harlem,Entire home/apt,165,3,80,0.75,3,231,35
178,Manhattan,West Village,Entire home/apt,150,26,38,0.36,1,225,35
179,Manhattan,Harlem,Entire home/apt,100,2,18,1.79,1,0,31
180,Brooklyn,Fort Greene,Private room,65,2,206,1.92,2,0,37
181,Queens,Ridgewood,Entire home/apt,350,8,10,0.11,5,365,34
182,Manhattan,Morningside Heights,Private room,99,4,122,1.18,2,233,34
183,Brooklyn,Williamsburg,Entire home/apt,200,4,33,0.58,1,1,28
184,Brooklyn,Park Slope,Entire home/apt,150,5,52,0.5,1,18,34
185,Brooklyn,Bedford-Stuyvesant,Private room,90,3,126,1.17,4,343,32
186,Brooklyn,Prospect Heights,Private room,120,3,51,0.48,3,250,46
187,Manhattan,Upper East Side,Private room,75,3,199,1.85,1,326,49
188,Brooklyn,Bedford-Stuyvesant,Entire home/apt,175,26,30,0.29,1,364,32
189,Manhattan,Chelsea,Entire home/apt,125,3,3,0.03,1,0,34
190,Manhattan,Hell's Kitchen,Entire home/apt,275,1,41,0.38,1,299,36
191,Manhattan,Lower East Side,Entire home/apt,299,2,109,1.04,1,207,50
192,Brooklyn,South Slope,Entire home/apt,135,5,151,1.43,3,162,50
193,Manhattan,Upper East Side,Private room,130,14,0,1.3732214298586884,2,0,35
194,Manhattan,Lower East Side,Private room,83,1,285,2.69,1,7,26
195,Manhattan,Chelsea,Private room,123,1,375,3.52,1,328,27
196,Queens,Jamaica,Private room,55,2,52,0.49,2,365,21
197,Manhattan,Hell's Kitchen,Entire home/apt,195,5,10,1.01,1,0,35
198,Brooklyn,Bedford-Stuyvesant,Private room,80,2,11,0.48,1,0,33
199,Queens,Middle Village,Entire home/apt,98,30,33,0.31,5,240,29
200,Queens,Ridgewood,Private room,140,7,6,0.06,5,365,34
201,Queens,Middle Village,Entire home/apt,265,7,38,0.38,5,365,19
202,Brooklyn,Williamsburg,Entire home/apt,249,2,358,3.44,2,164,35
203,Manhattan,Hell's Kitchen,Shared room,105,6,10,0.09,1,363,34
204,Manhattan,Harlem,Private room,200,30,0,1.3732214298586884,1,365,35
205,Brooklyn,Prospect Heights,Private room,100,2,226,2.12,3,250,49
206,Manhattan,Harlem,Entire home/apt,121,1,104,1.0,5,247,34
207,Bronx,Highbridge,Private room,45,1,138,1.45,3,323,30
208,Manhattan,East Harlem,Private room,100,5,204,1.92,1,192,50
209,Brooklyn,Williamsburg,Entire home/apt,140,2,253,3.04,1,125,35
210,Brooklyn,Bedford-Stuyvesant,Private room,71,2,23,0.22,1,91,49
211,Manhattan,NoHo,Private room,130,2,115,1.17,1,75,35
212,Manhattan,West Village,Entire home/apt,199,5,129,1.22,1,286,28
213,Brooklyn,Williamsburg,Private room,69,4,82,1.13,2,60,39
214,Brooklyn,Fort Greene,Private room,68,3,37,0.35,1,0,34
215,Manhattan,East Village,Entire home/apt,130,1,204,2.04,1,192,33
216,Brooklyn,Greenpoint,Entire home/apt,195,2,69,0.65,1,58,35
217,Manhattan,Harlem,Private room,64,1,192,1.84,5,245,35
218,Queens,Ditmars Steinway,Entire home/apt,140,2,17,0.16,1,292,15
219,Brooklyn,Cobble Hill,Entire home/apt,159,2,222,2.12,1,279,50
220,Manhattan,East Village,Entire home/apt,189,3,205,1.96,1,0,31
221,Manhattan,Hell's Kitchen,Entire home/apt,250,3,94,0.96,1,3,34
222,Manhattan,East Village,Entire home/apt,239,3,7,0.07,1,351,33
223,Manhattan,Flatiron District,Entire home/apt,305,2,108,1.09,1,201,28
224,Manhattan,Harlem,Entire home/apt,155,3,222,2.1,2,232,34
225,Manhattan,Harlem,Private room,60,1,458,4.58,2,258,35
226,Brooklyn,Windsor Terrace,Private room,135,2,21,0.26,1,272,17
227,Manhattan,Roosevelt Island,Private room,120,7,17,0.3,1,341,35
228,Manhattan,Lower East Side,Entire home/apt,150,3,41,0.39,1,244,34
229,Queens,Ridgewood,Entire home/apt,140,14,1,0.01,5,365,33
230,Brooklyn,Greenpoint,Entire home/apt,135,2,69,0.67,1,12,46
231,Manhattan,Chinatown,Entire home/apt,250,4,18,0.18,2,265,47
232,Manhattan,Midtown,Entire home/apt,250,30,82,0.78,1,0,23
233,Manhattan,SoHo,Entire home/apt,500,4,94,0.99,1,329,34
234,Manhattan,Greenwich Village,Entire home/apt,225,5,10,0.1,1,91,30
235,Manhattan,East Harlem,Entire home/apt,125,28,183,1.83,2,365,27
236,Manhattan,Harlem,Private room,92,1,189,1.82,5,253,32
237,Manhattan,Harlem,Private room,175,2,1,0.11,1,365,34
238,Manhattan,East Village,Entire home/apt,99,2,127,1.22,1,320,27
239,Manhattan,Upper West Side,Entire home/apt,195,4,4,0.04,1,0,34
240,Manhattan,East Harlem,Entire home/apt,140,3,135,1.3,3,192,24
241,Manhattan,Little Italy,Entire home/apt,135,2,21,0.2,1,0,32
242,Manhattan,Chelsea,Entire home/apt,500,2,35,0.34,1,348,17
243,Manhattan,Harlem,Private room,80,14,10,2.21,2,0,28
244,Manhattan,Chinatown,Private room,120,4,171,1.8,2,353,40
245,Manhattan,Midtown,Entire home/apt,110,200,92,0.9,1,140,35
246,Brooklyn,East Flatbush,Entire home/apt,65,3,238,2.3,1,2,33
247,Manhattan,East Village,Entire home/apt,130,50,56,0.58,1,56,35
248,Brooklyn,Bushwick,Entire home/apt,99,3,111,2.13,1,68,29
249,Staten Island,Tompkinsville,Private room,36,2,193,1.85,6,360,30
250,Staten Island,Tompkinsville,Private room,37,2,147,1.44,6,0,27
251,Staten Island,Tompkinsville,Private room,37,2,177,1.71,6,320,27
252,Manhattan,East Village,Entire home/apt,175,3,185,1.78,2,326,29
253,Manhattan,Chelsea,Entire home/apt,205,9,62,0.7,2,76,49
254,Brooklyn,Greenpoint,Entire home/apt,285,3,124,1.22,3,279,27
255,Brooklyn,Williamsburg,Private room,59,2,181,1.77,2,15,50
256,Staten Island,Tompkinsville,Private room,36,2,333,3.19,6,340,34
257,Queens,Astoria,Entire home/apt,99,5,441,4.5,1,226,50
258,Brooklyn,Kensington,Private room,39,1,45,0.46,2,365,30
259,Brooklyn,Park Slope,Private room,60,14,9,0.09,2,0,28
260,Bronx,Clason Point,Private room,90,2,0,1.3732214298586884,7,349,3
261,Bronx,Eastchester,Entire home/apt,105,2,38,0.5,13,365,48
262,Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,2,248,2.39,2,11,43
263,Manhattan,East Village,Entire home/apt,390,5,143,1.38,2,316,22
264,Brooklyn,Bedford-Stuyvesant,Private room,70,3,36,0.41,4,281,35
265,Manhattan,Inwood,Private room,75,7,0,1.3732214298586884,2,323,38
266,Brooklyn,Williamsburg,Private room,60,17,14,0.14,4,362,33
267,Manhattan,East Village,Entire home/apt,200,3,0,1.3732214298586884,1,0,28
268,Brooklyn,Crown Heights,Private room,100,3,279,2.69,1,301,26
269,Brooklyn,Bedford-Stuyvesant,Private room,70,4,18,0.22,4,189,34
270,Brooklyn,Crown Heights,Private room,110,6,50,3.55,1,0,33
271,Brooklyn,Crown Heights,Private room,60,2,227,2.27,2,287,25
272,Manhattan,Little Italy,Entire home/apt,90,14,1,0.16,1,14,49
273,Manhattan,East Village,Private room,68,2,203,1.96,2,86,20
274,Manhattan,Upper West Side,Entire home/apt,115,2,210,2.1,1,261,26
275,Brooklyn,Bedford-Stuyvesant,Private room,75,5,64,0.67,1,68,49
276,Brooklyn,Williamsburg,Private room,60,3,0,1.3732214298586884,1,0,34
277,Manhattan,East Village,Entire home/apt,129,7,5,0.15,1,231,33
278,Brooklyn,Williamsburg,Entire home/apt,130,10,49,0.48,1,152,35
279,Brooklyn,Williamsburg,Entire home/apt,95,4,132,1.27,1,46,35
280,Manhattan,Harlem,Private room,75,3,20,0.26,1,364,50
281,Brooklyn,Park Slope,Entire home/apt,175,2,11,0.11,1,246,34
282,Brooklyn,Carroll Gardens,Entire home/apt,190,3,51,0.57,1,288,29
283,Brooklyn,Crown Heights,Private room,49,21,15,0.15,5,331,35
284,Manhattan,East Village,Entire home/apt,212,3,67,1.31,1,51,36
285,Manhattan,Lower East Side,Private room,95,1,109,1.11,3,364,26
286,Brooklyn,Williamsburg,Entire home/apt,140,2,9,0.11,1,254,30
287,Manhattan,Harlem,Entire home/apt,135,6,187,1.87,1,189,32
288,Brooklyn,Park Slope,Entire home/apt,150,2,214,2.08,2,263,33
289,Brooklyn,Gowanus,Entire home/apt,190,3,69,0.79,2,258,32
290,Manhattan,East Harlem,Entire home/apt,124,28,22,0.26,1,103,28
291,Brooklyn,Williamsburg,Entire home/apt,135,30,56,0.56,1,42,38
292,Manhattan,Morningside Heights,Private room,122,3,93,0.93,1,246,32
293,Manhattan,Upper West Side,Private room,109,1,104,1.05,2,364,28
294,Manhattan,Harlem,Private room,85,30,64,0.68,1,318,30
295,Brooklyn,Bedford-Stuyvesant,Entire home/apt,145,3,127,1.25,2,72,35
296,Manhattan,Upper West Side,Entire home/apt,195,11,30,0.32,1,249,34
297,Brooklyn,Carroll Gardens,Entire home/apt,250,2,106,1.34,3,272,49
298,Brooklyn,Greenpoint,Private room,125,3,6,0.1,1,325,25
299,Manhattan,Little Italy,Entire home/apt,575,2,191,1.88,1,298,34
300,Manhattan,Upper West Side,Entire home/apt,150,30,48,0.55,1,35,35
301,Brooklyn,Bushwick,Private room,70,5,47,0.49,1,203,22
302,Manhattan,Inwood,Private room,90,2,120,1.27,1,132,38
303,Manhattan,East Village,Private room,65,3,52,0.63,1,5,34
304,Manhattan,East Village,Entire home/apt,500,2,48,0.48,4,297,50
305,Manhattan,Washington Heights,Entire home/apt,250,3,32,0.43,2,276,42
306,Manhattan,Chinatown,Entire home/apt,125,25,43,0.42,1,102,35
307,Manhattan,West Village,Entire home/apt,200,30,39,0.44,1,251,48
308,Brooklyn,Greenpoint,Entire home/apt,229,1,50,0.5,1,188,31
309,Bronx,Kingsbridge,Entire home/apt,90,30,4,0.35,2,346,36
310,Manhattan,Upper West Side,Entire home/apt,110,13,38,0.39,1,0,35
311,Brooklyn,Greenpoint,Private room,59,3,29,0.36,1,15,31
312,Brooklyn,Williamsburg,Entire home/apt,195,4,59,0.6,1,71,44
313,Brooklyn,Williamsburg,Entire home/apt,169,1,68,0.67,2,215,33
314,Manhattan,East Harlem,Entire home/apt,113,14,26,0.27,3,253,35
315,Manhattan,Harlem,Entire home/apt,250,14,31,0.31,1,78,45
316,Queens,Astoria,Entire home/apt,115,2,198,2.01,1,257,35
317,Brooklyn,Greenpoint,Private room,55,2,1,0.01,1,0,49
318,Brooklyn,Williamsburg,Private room,69,2,220,2.17,2,8,49
319,Manhattan,Lower East Side,Entire home/apt,150,3,286,2.81,1,191,33
320,Brooklyn,South Slope,Entire home/apt,169,2,398,3.97,3,182,46
321,Brooklyn,Greenpoint,Private room,179,3,36,0.36,28,79,20
322,Manhattan,Hell's Kitchen,Private room,150,3,36,0.36,1,49,28
323,Brooklyn,Boerum Hill,Entire home/apt,135,4,6,0.1,1,0,35
324,Brooklyn,Clinton Hill,Entire home/apt,350,6,14,0.3,1,156,50
325,Brooklyn,Williamsburg,Private room,120,14,76,0.76,6,343,48
326,Manhattan,East Village,Private room,71,2,182,1.81,1,200,33
327,Brooklyn,Greenpoint,Private room,349,3,8,0.09,28,60,35
328,Brooklyn,Greenpoint,Private room,349,3,7,0.07,28,60,33
329,Brooklyn,Park Slope,Entire home/apt,165,30,34,0.51,2,189,39
330,Brooklyn,Greenpoint,Private room,249,3,2,0.02,28,60,33
331,Brooklyn,Brooklyn Heights,Private room,100,3,66,0.68,2,0,35
332,Brooklyn,Brooklyn Heights,Entire home/apt,200,3,80,0.85,2,106,20
333,Manhattan,East Village,Entire home/apt,169,4,240,2.4,1,276,36
334,Brooklyn,Bedford-Stuyvesant,Entire home/apt,185,3,46,1.07,1,248,29
335,Brooklyn,Bushwick,Entire home/apt,65,2,228,2.27,1,194,36
336,Brooklyn,Fort Greene,Entire home/apt,130,35,5,0.05,1,135,43
337,Brooklyn,Williamsburg,Entire home/apt,199,30,8,0.11,1,30,47
338,Manhattan,East Village,Entire home/apt,225,2,33,0.33,1,0,32
339,Brooklyn,Greenpoint,Private room,179,3,13,0.14,28,81,20
340,Brooklyn,Crown Heights,Entire home/apt,150,5,5,0.05,1,0,24
341,Manhattan,East Village,Entire home/apt,139,1,388,3.88,1,142,35
342,Manhattan,Two Bridges,Private room,95,3,223,2.22,2,60,36
343,Brooklyn,Crown Heights,Entire home/apt,79,15,11,0.11,5,179,50
344,Manhattan,Lower East Side,Entire home/apt,150,2,151,1.51,2,52,43
345,Brooklyn,Clinton Hill,Entire home/apt,650,5,0,1.3732214298586884,3,365,20
346,Brooklyn,Bedford-Stuyvesant,Entire home/apt,90,3,218,2.26,4,324,29
347,Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,2,75,0.76,2,237,20
348,Queens,Astoria,Private room,80,1,42,1.21,2,365,49
349,Brooklyn,Crown Heights,Entire home/apt,100,90,0,1.3732214298586884,1,365,34
350,Brooklyn,Bedford-Stuyvesant,Entire home/apt,175,2,370,3.74,1,204,20
351,Brooklyn,Crown Heights,Entire home/apt,120,5,104,1.04,1,272,46
352,Brooklyn,Williamsburg,Entire home/apt,140,7,13,0.13,1,0,30
353,Brooklyn,Bedford-Stuyvesant,Entire home/apt,200,5,4,0.07,1,9,29
354,Brooklyn,Clinton Hill,Private room,165,4,11,0.11,3,365,33
355,Manhattan,Kips Bay,Entire home/apt,125,4,1,0.01,3,181,35
356,Manhattan,Chelsea,Entire home/apt,130,30,19,0.19,1,189,22
357,Manhattan,East Harlem,Shared room,65,7,131,1.31,2,0,35
358,Brooklyn,Fort Greene,Entire home/apt,123,30,15,0.15,1,189,47
359,Manhattan,Washington Heights,Private room,67,2,136,1.37,1,296,33
360,Queens,Queens Village,Private room,50,1,43,0.45,1,88,9
361,Brooklyn,Gowanus,Entire home/apt,130,7,98,0.99,1,35,30
362,Brooklyn,Williamsburg,Private room,100,3,31,0.31,1,0,34
363,Manhattan,Upper West Side,Entire home/apt,212,21,45,0.46,1,35,32
364,Brooklyn,Williamsburg,Entire home/apt,190,3,124,1.76,1,359,48
365,Brooklyn,Greenpoint,Private room,599,3,9,0.09,28,60,33
366,Manhattan,East Village,Entire home/apt,249,5,166,1.68,2,365,33
